岩手県,0.7692307692307693,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,小本港小本浜地区港湾災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第５号　小本港小本浜地区港湾災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.0,財産の取得に関し議決を求めることについて,財産の取得に関し議決を求めることについて,議案第８号　財産の取得に関し議決を求めることについて
岩手県,0.2727272727272727,平成25年度岩手県一般会計補正予算（第４号）,平成24年度岩手県一般会計補正予算（第３号）,議案第１号　平成24年度岩手県一般会計補正予算（第３号）
岩手県,0.8,平成25年度岩手県中小企業振興資金特別会計補正予算（第２号）,平成24年度岩手県母子寡婦福祉資金特別会計補正予算（第１号）,議案第２号　平成24年度岩手県母子寡婦福祉資金特別会計補正予算（第１号）
岩手県,0.9,平成25年度岩手県中小企業振興資金特別会計補正予算（第２号）,平成24年度岩手県農業改良資金等特別会計補正予算（第１号）,議案第３号　平成24年度岩手県農業改良資金等特別会計補正予算（第１号）
岩手県,0.6785714285714286,平成25年度岩手県港湾整備事業特別会計補正予算（第３号）,平成24年度岩手県県有林事業特別会計補正予算（第１号）,議案第４号　平成24年度岩手県県有林事業特別会計補正予算（第１号）
岩手県,0.8571428571428571,平成25年度岩手県港湾整備事業特別会計補正予算（第３号）,平成24年度岩手県林業改善資金特別会計補正予算（第１号）,議案第５号　平成24年度岩手県林業改善資金特別会計補正予算（第１号）
岩手県,0.7,平成25年度岩手県中小企業振興資金特別会計補正予算（第２号）,平成24年度岩手県沿岸漁業改善資金特別会計補正予算（第１号）,議案第６号　平成24年度岩手県沿岸漁業改善資金特別会計補正予算（第１号）
岩手県,0.1,平成25年度岩手県中小企業振興資金特別会計補正予算（第２号）,平成24年度岩手県中小企業振興資金特別会計補正予算（第２号）,議案第７号　平成24年度岩手県中小企業振興資金特別会計補正予算（第２号）
岩手県,0.7857142857142857,平成25年度岩手県港湾整備事業特別会計補正予算（第３号）,平成24年度岩手県流域下水道事業特別会計補正予算（第１号）,議案第８号　平成24年度岩手県流域下水道事業特別会計補正予算（第１号）
岩手県,0.21428571428571427,平成25年度岩手県港湾整備事業特別会計補正予算（第３号）,平成24年度岩手県港湾整備事業特別会計補正予算（第１号）,議案第９号　平成24年度岩手県港湾整備事業特別会計補正予算（第１号）
岩手県,0.9512195121951219,土木関係の建設事業に要する経費の一部を負担させることに関し議決を求めることについて,農業関係の建設事業に要する経費の一部を負担させることに関する議決の変更に関し議決を求めることについて,議案第10号　農業関係の建設事業に要する経費の一部を負担させることに関する議決の変更に関し議決を求めることについて
岩手県,0.14634146341463414,土木関係の建設事業に要する経費の一部を負担させることに関し議決を求めることについて,農業関係の建設事業に要する経費の一部を負担させることに関し議決を求めることについて,議案第11号　農業関係の建設事業に要する経費の一部を負担させることに関し議決を求めることについて
